type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,80918,"[0.964360,-0.007301,0.015235,0.264055]","[0.002154,0.006384,-0.008455]","[-0.201113,-0.136469,9.818622]",not_valid,not_valid
StateB,82847,"[0.964362,-0.007303,0.015239,0.264048]","[0.000064,0.017044,0.001177]","[-0.114922,-0.057461,9.775525]",not_valid,not_valid
StateB,84824,"[0.964359,-0.007289,0.015245,0.264057]","[0.008538,0.004229,0.010762]","[-0.086191,-0.028730,9.696517]",not_valid,not_valid
StateB,86723,"[0.964358,-0.007303,0.015235,0.264061]","[-0.019183,-0.002059,0.002305]","[-0.351948,-0.064643,9.825804]",not_valid,not_valid
StateB,88955,"[0.964356,-0.007296,0.015241,0.264068]","[0.013912,0.016992,0.005539]","[-0.272939,-0.057461,9.753978]",not_valid,not_valid
StateB,90712,"[0.964360,-0.007304,0.015238,0.264053]","[-0.010649,0.001105,-0.013729]","[-0.158017,-0.107739,9.775525]",not_valid,not_valid
StateB,92749,"[0.964365,-0.007297,0.015220,0.264038]","[-0.000071,-0.019175,0.005758]","[-0.294487,-0.043096,9.768343]",not_valid,not_valid
StateB,94674,"[0.964361,-0.007314,0.015231,0.264052]","[-0.020148,0.024577,-0.026248]","[-0.387861,-0.158017,9.825804]",not_valid,not_valid
StateB,97040,"[0.964360,-0.007302,0.015234,0.264054]","[0.015983,0.001005,0.016363]","[-0.373495,-0.050278,9.746795]",not_valid,not_valid
StateB,98730,"[0.964365,-0.007310,0.015227,0.264035]","[-0.007445,0.003223,0.000873]","[-0.474052,-0.028730,9.811439]",not_valid,not_valid
StateB,100868,"[0.964359,-0.007302,0.015220,0.264058]","[0.001109,0.011714,0.018985]","[-0.416591,-0.071826,9.746795]",not_valid,not_valid
StateB,102820,"[0.964357,-0.007308,0.015232,0.264066]","[-0.006328,0.017068,-0.001079]","[-0.330400,-0.100556,9.746795]",not_valid,not_valid
StateB,104837,"[0.964358,-0.007304,0.015230,0.264063]","[0.002154,0.006384,0.015695]","[-0.258574,-0.186748,9.825804]",not_valid,not_valid
StateB,106835,"[0.964359,-0.007303,0.015221,0.264057]","[-0.008530,-0.002099,-0.006916]","[-0.366313,-0.007183,9.732430]",not_valid,not_valid
StateB,108834,"[0.964360,-0.007302,0.015229,0.264052]","[0.006439,0.012759,0.003837]","[-0.344765,-0.107739,9.653421]",not_valid,not_valid
StateB,110943,"[0.964359,-0.007298,0.015229,0.264057]","[0.007505,0.012755,-0.005960]","[-0.517148,-0.107739,9.761160]",not_valid,not_valid
StateB,112979,"[0.964359,-0.007304,0.015240,0.264058]","[-0.015887,0.024561,0.000432]","[-0.474052,-0.114922,9.804255]",not_valid,not_valid
StateB,114945,"[0.964361,-0.007301,0.015236,0.264051]","[0.009563,-0.006427,-0.000343]","[-0.251391,-0.093374,9.682152]",not_valid,not_valid
StateB,116992,"[0.964365,-0.007303,0.015242,0.264036]","[-0.003137,0.015991,-0.013233]","[-0.114922,-0.193930,9.682152]",not_valid,not_valid
StateB,118807,"[0.964362,-0.007283,0.015238,0.264045]","[0.021262,-0.011797,0.023975]","[-0.201113,-0.129287,9.768343]",not_valid,not_valid
StateB,120870,"[0.964359,-0.007288,0.015236,0.264057]","[-0.005303,0.006411,0.003733]","[-0.280122,-0.100556,9.782708]",not_valid,not_valid
StateB,123108,"[0.964355,-0.007286,0.015235,0.264072]","[0.003212,0.004249,-0.002787]","[0.143652,-0.086191,9.689334]",not_valid,not_valid
StateB,124684,"[0.964358,-0.007292,0.015232,0.264061]","[-0.010696,-0.011678,-0.011229]","[-0.165200,-0.043096,9.847352]",not_valid,not_valid
StateB,126494,"[0.964358,-0.007281,0.015231,0.264062]","[0.018145,0.009520,0.011141]","[-0.287304,-0.057461,9.718064]",not_valid,not_valid
StateB,128627,"[0.964360,-0.007274,0.015237,0.264053]","[-0.001006,0.015983,0.017263]","[-0.129287,-0.035913,9.689334]",not_valid,not_valid
StateB,130561,"[0.964356,-0.007281,0.015245,0.264067]","[0.005390,0.017024,-0.015146]","[-0.114922,-0.007183,9.718064]",not_valid,not_valid
StateB,132549,"[0.964359,-0.007277,0.015241,0.264057]","[-0.009603,-0.004225,-0.002592]","[-0.416591,-0.086191,9.768343]",not_valid,not_valid
StateB,134533,"[0.964361,-0.007275,0.015244,0.264049]","[0.001085,0.005322,-0.001573]","[-0.165200,-0.079009,9.775525]",not_valid,not_valid
StateB,136565,"[0.964362,-0.007272,0.015225,0.264049]","[-0.004312,-0.013833,0.008610]","[-0.158017,-0.021548,9.768343]",not_valid,not_valid
StateB,138524,"[0.964368,-0.007270,0.015224,0.264026]","[0.003208,0.003184,-0.018020]","[-0.811634,-0.107739,9.753978]",not_valid,not_valid
StateB,140676,"[0.964369,-0.007271,0.015232,0.264023]","[-0.002095,0.009595,0.009677]","[-0.790087,-0.114922,9.840169]",not_valid,not_valid
StateB,142882,"[0.964365,-0.007259,0.015229,0.264038]","[0.017028,-0.004324,0.002775]","[-0.675165,-0.035913,9.653421]",not_valid,not_valid
StateB,145615,"[0.964364,-0.007260,0.015229,0.264039]","[-0.005271,0.014933,0.008460]","[-0.711078,-0.122104,9.797073]",not_valid,not_valid
StateB,146651,"[0.964366,-0.007259,0.015227,0.264035]","[0.008526,0.001034,0.007882]","[-0.689530,-0.021548,9.746795]",not_valid,not_valid
StateB,148762,"[0.964363,-0.007256,0.015230,0.264043]","[-0.008498,0.006423,-0.008731]","[-0.093374,-0.021548,9.825804]",not_valid,not_valid
StateB,150523,"[0.964362,-0.007251,0.015234,0.264049]","[0.012811,0.007409,0.013610]","[-0.114922,-0.064643,9.876082]",not_valid,not_valid
StateB,152933,"[0.964356,-0.007255,0.015240,0.264068]","[0.004341,0.021289,-0.002888]","[-0.107739,-0.114922,9.797073]",not_valid,not_valid
StateB,154675,"[0.964361,-0.007250,0.015236,0.264051]","[-0.005314,0.003216,-0.013321]","[-0.229843,-0.086191,9.789890]",not_valid,not_valid
StateB,156935,"[0.964363,-0.007267,0.015240,0.264044]","[-0.018015,0.025633,0.012073]","[-0.186748,-0.093374,9.761160]",not_valid,not_valid
StateB,158703,"[0.964357,-0.007262,0.015243,0.264066]","[0.006384,-0.002154,0.011210]","[-0.229843,-0.014365,9.775525]",not_valid,not_valid
StateB,160730,"[0.964357,-0.007262,0.015236,0.264067]","[-0.014941,-0.007401,0.005884]","[-0.323217,-0.028730,9.804255]",not_valid,not_valid
StateB,162776,"[0.964358,-0.007250,0.015249,0.264061]","[0.026703,0.019075,-0.000506]","[-0.603339,-0.028730,9.797073]",not_valid,not_valid
StateB,164737,"[0.964359,-0.007251,0.015237,0.264059]","[-0.018161,-0.013781,-0.006515]","[-0.646434,-0.071826,9.761160]",not_valid,not_valid
StateB,166577,"[0.964358,-0.007251,0.015233,0.264064]","[0.012811,0.007409,0.002543]","[-0.560243,-0.035913,9.840169]",not_valid,not_valid
StateB,168760,"[0.964364,-0.007237,0.015241,0.264041]","[0.004316,0.014898,-0.006125]","[-0.545878,-0.050278,9.840169]",not_valid,not_valid
StateB,170612,"[0.964358,-0.007251,0.015244,0.264061]","[-0.021273,0.008602,0.011168]","[-0.567426,-0.007183,9.761160]",not_valid,not_valid
StateB,172488,"[0.964359,-0.007236,0.015239,0.264058]","[0.022386,0.004178,-0.015576]","[-0.071826,-0.150835,9.818622]",not_valid,not_valid
StateB,174584,"[0.964360,-0.007247,0.015245,0.264056]","[-0.014838,0.020296,0.012120]","[0.114922,-0.071826,9.753978]",not_valid,not_valid
StateB,176843,"[0.964362,-0.007242,0.015244,0.264047]","[-0.006364,0.007480,-0.001442]","[-0.028730,-0.086191,9.840169]",not_valid,not_valid
StateB,178530,"[0.964358,-0.007241,0.015244,0.264062]","[0.006403,0.003172,0.012077]","[-0.035913,0.007183,9.761160]",not_valid,not_valid
StateB,180897,"[0.964359,-0.007255,0.015245,0.264057]","[-0.019183,-0.002059,0.003221]","[-0.172383,-0.050278,9.718064]",not_valid,not_valid
StateB,182758,"[0.964357,-0.007244,0.015246,0.264065]","[0.008554,0.008490,0.002185]","[-0.086191,-0.028730,9.725247]",not_valid,not_valid
StateB,184989,"[0.964363,-0.007254,0.015255,0.264044]","[-0.018046,0.017111,-0.008573]","[-0.272939,-0.064643,9.761160]",not_valid,not_valid
StateB,186774,"[0.964363,-0.007247,0.015245,0.264044]","[0.009516,-0.019210,-0.001564]","[-0.150835,-0.043096,9.732430]",not_valid,not_valid
StateB,188750,"[0.964361,-0.007246,0.015244,0.264050]","[0.004317,0.014898,-0.006244]","[-0.201113,-0.114922,9.825804]",not_valid,not_valid
StateB,190851,"[0.964357,-0.007251,0.015252,0.264065]","[-0.011706,0.003240,0.008986]","[-0.373495,0.014365,9.868899]",not_valid,not_valid
StateB,192837,"[0.964362,-0.007244,0.015257,0.264047]","[0.005378,0.013828,-0.006476]","[-0.129287,-0.136469,9.703699]",not_valid,not_valid
StateB,194869,"[0.964363,-0.007249,0.015246,0.264043]","[-0.020232,0.002206,-0.005411]","[-0.172383,-0.086191,9.854534]",not_valid,not_valid
StateB,196837,"[0.964365,-0.007249,0.015247,0.264036]","[0.003216,0.005314,-0.005443]","[-0.603339,-0.071826,9.876082]",not_valid,not_valid
StateB,198632,"[0.964364,-0.007236,0.015233,0.264041]","[0.002095,-0.009595,0.011812]","[-0.459687,-0.050278,9.710882]",not_valid,not_valid
StateB,200669,"[0.964366,-0.007241,0.015230,0.264035]","[0.002146,0.004253,0.025892]","[-0.538695,-0.107739,9.775525]",not_valid,not_valid
StateB,202644,"[0.964366,-0.007230,0.015225,0.264034]","[0.003200,0.001053,-0.015193]","[-0.739808,-0.079009,9.768343]",not_valid,not_valid
StateB,204746,"[0.964361,-0.007234,0.015224,0.264054]","[-0.010609,0.011758,0.007189]","[-0.459687,-0.143652,9.811439]",not_valid,not_valid
StateB,206752,"[0.964364,-0.007244,0.015225,0.264042]","[0.000008,0.002131,-0.004482]","[-0.402226,-0.215478,9.804255]",not_valid,not_valid
StateB,208791,"[0.964360,-0.007233,0.015227,0.264056]","[0.023412,-0.006479,0.012562]","[-0.294487,-0.043096,9.854534]",not_valid,not_valid
StateB,210735,"[0.964362,-0.007234,0.015230,0.264048]","[-0.009540,0.012819,0.005285]","[-0.208296,-0.158017,9.847352]",not_valid,not_valid
StateB,212732,"[0.964361,-0.007239,0.015220,0.264051]","[-0.001093,-0.007453,0.001894]","[-0.258574,0.000000,9.725247]",not_valid,not_valid
StateB,214683,"[0.964361,-0.007227,0.015226,0.264053]","[0.008594,0.019143,-0.013460]","[-0.366313,-0.043096,9.746795]",not_valid,not_valid
StateB,216827,"[0.964361,-0.007241,0.015230,0.264053]","[-0.018062,0.012851,0.016072]","[-0.409408,-0.114922,9.739613]",not_valid,not_valid
StateB,218802,"[0.964358,-0.007243,0.015226,0.264062]","[0.004285,0.006376,0.010402]","[-0.459687,-0.179565,9.761160]",not_valid,not_valid
StateB,220667,"[0.964357,-0.007240,0.015222,0.264066]","[-0.008506,0.004293,0.000921]","[-0.150835,-0.021548,9.782708]",not_valid,not_valid
StateB,222968,"[0.964355,-0.007215,0.015219,0.264077]","[0.017052,0.002067,0.020292]","[-0.244209,-0.035913,9.761160]",not_valid,not_valid
StateB,224880,"[0.964356,-0.007218,0.015221,0.264071]","[-0.020208,0.008598,-0.018058]","[-0.179565,-0.086191,9.753978]",not_valid,not_valid
StateB,226695,"[0.964360,-0.007219,0.015218,0.264057]","[0.013852,0.001014,-0.003744]","[-0.380678,-0.079009,9.775525]",not_valid,not_valid
StateB,228797,"[0.964366,-0.007223,0.015212,0.264037]","[-0.017040,0.001128,-0.009643]","[-0.316035,-0.100556,9.753978]",not_valid,not_valid
StateB,230746,"[0.964363,-0.007218,0.015212,0.264045]","[0.005338,0.003176,0.005094]","[-0.423774,-0.064643,9.667787]",not_valid,not_valid
StateB,232696,"[0.964359,-0.007234,0.015215,0.264062]","[-0.012747,0.009635,0.010105]","[-0.502782,-0.165200,9.689334]",not_valid,not_valid
StateB,234616,"[0.964365,-0.007232,0.015219,0.264039]","[0.007548,0.024473,-0.016575]","[-0.610521,-0.143652,9.804255]",not_valid,not_valid
StateB,236627,"[0.964361,-0.007226,0.015215,0.264053]","[0.003196,-0.000012,-0.004371]","[-0.538695,-0.057461,9.825804]",not_valid,not_valid
StateB,238703,"[0.964361,-0.007224,0.015217,0.264053]","[-0.014890,0.006447,0.016599]","[-0.387861,-0.071826,9.639056]",not_valid,not_valid
StateB,240670,"[0.964363,-0.007228,0.015215,0.264045]","[-0.007437,0.005354,-0.014294]","[-0.567426,-0.165200,9.883265]",not_valid,not_valid
StateB,242862,"[0.964363,-0.007235,0.015213,0.264045]","[-0.013832,0.004313,0.003836]","[-0.172383,-0.007183,9.703699]",not_valid,not_valid
StateB,244875,"[0.964361,-0.007230,0.015231,0.264054]","[0.013924,0.020188,-0.003758]","[-0.136469,-0.107739,9.718064]",not_valid,not_valid
StateB,246765,"[0.964361,-0.007225,0.015217,0.264055]","[0.007429,-0.007485,0.010481]","[-0.251391,-0.057461,9.718064]",not_valid,not_valid
StateB,248895,"[0.964365,-0.007237,0.015223,0.264039]","[-0.018033,0.020308,-0.016448]","[-0.100556,-0.043096,9.797073]",not_valid,not_valid
StateB,250707,"[0.964370,-0.007249,0.015230,0.264017]","[-0.012688,0.025614,0.021957]","[-0.064643,-0.021548,9.775525]",not_valid,not_valid
StateB,252733,"[0.964367,-0.007249,0.015240,0.264028]","[0.006435,0.011694,-0.000954]","[-0.100556,0.014365,9.775525]",not_valid,not_valid
StateB,254756,"[0.964377,-0.007248,0.015234,0.263994]","[-0.011769,-0.013805,-0.009433]","[-0.193930,-0.064643,9.718064]",not_valid,not_valid
StateB,256809,"[0.964364,-0.007243,0.015243,0.264041]","[0.009623,0.009552,0.029281]","[-0.201113,-0.071826,9.718064]",not_valid,not_valid
StateB,258713,"[0.964368,-0.007241,0.015244,0.264027]","[0.007453,-0.001093,-0.019353]","[-0.122104,-0.064643,9.624691]",not_valid,not_valid
StateB,260672,"[0.964370,-0.007252,0.015237,0.264020]","[-0.026631,0.000099,-0.011896]","[0.007183,-0.158017,9.782708]",not_valid,not_valid
StateB,262934,"[0.964369,-0.007252,0.015237,0.264020]","[-0.008483,0.010684,0.013856]","[-0.129287,-0.143652,9.789890]",not_valid,not_valid
StateB,264551,"[0.964369,-0.007252,0.015235,0.264021]","[-0.002142,-0.003188,-0.002483]","[-0.122104,-0.071826,9.739613]",not_valid,not_valid
StateB,266636,"[0.964372,-0.007249,0.015239,0.264013]","[0.004293,0.008506,-0.008861]","[-0.452504,-0.100556,9.782708]",not_valid,not_valid
StateB,268706,"[0.964372,-0.007259,0.015238,0.264011]","[-0.010625,0.007496,-0.005679]","[-0.438139,-0.100556,9.753978]",not_valid,not_valid
StateB,270513,"[0.964374,-0.007264,0.015240,0.264004]","[-0.001022,0.011722,-0.001260]","[-0.445322,-0.021548,9.761160]",not_valid,not_valid
StateB,272496,"[0.964370,-0.007259,0.015240,0.264017]","[0.006407,0.004237,0.023485]","[-0.265756,-0.100556,9.667787]",not_valid,not_valid
StateB,274459,"[0.964369,-0.007262,0.015244,0.264022]","[-0.001038,0.007461,0.000556]","[-0.165200,-0.057461,9.746795]",not_valid,not_valid
StateB,276721,"[0.964364,-0.007257,0.015247,0.264039]","[0.008562,0.010621,0.009078]","[-0.359130,-0.107739,9.696517]",not_valid,not_valid
StateB,278727,"[0.964371,-0.007252,0.015237,0.264013]","[-0.000043,-0.011718,-0.013984]","[-0.610521,-0.093374,9.768343]",not_valid,not_valid
StateB,280911,"[0.964365,-0.007262,0.015236,0.264035]","[-0.010613,0.010692,0.023803]","[-0.524330,0.000000,9.703699]",not_valid,not_valid
StateB,282994,"[0.964366,-0.007259,0.015240,0.264033]","[0.006431,0.010629,-0.005678]","[-0.373495,-0.071826,9.797073]",not_valid,not_valid
StateB,285004,"[0.964364,-0.007266,0.015232,0.264039]","[-0.004293,-0.008506,0.009684]","[-0.395043,-0.064643,9.761160]",not_valid,not_valid
StateB,286890,"[0.964363,-0.007263,0.015236,0.264043]","[-0.006301,0.024524,0.022426]","[-0.380678,0.000000,9.732430]",not_valid,not_valid
