type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,81496,"[0.970699,-0.005979,0.008394,0.240077]","[-0.026475,0.037396,0.007477]","[0.093374,0.114922,9.732430]",not_valid,not_valid
StateB,83587,"[0.970700,-0.005979,0.008399,0.240074]","[-0.002059,0.017053,-0.005190]","[-0.201113,0.057461,9.854534]",not_valid,not_valid
StateB,85522,"[0.970697,-0.005979,0.008409,0.240086]","[-0.004194,0.015997,0.015611]","[-0.215478,0.114922,9.825804]",not_valid,not_valid
StateB,87315,"[0.970697,-0.005971,0.008420,0.240084]","[0.011794,0.018060,-0.003654]","[-0.222661,0.107739,9.847352]",not_valid,not_valid
StateB,89413,"[0.970692,-0.005985,0.008441,0.240105]","[-0.012648,0.032012,0.006463]","[-0.344765,0.064643,9.797073]",not_valid,not_valid
StateB,91317,"[0.970693,-0.005978,0.008454,0.240101]","[0.000089,0.021305,0.005089]","[-0.272939,0.093374,9.868899]",not_valid,not_valid
StateB,93488,"[0.970694,-0.005972,0.008453,0.240097]","[-0.008544,-0.005291,0.007165]","[-0.114922,0.093374,9.840169]",not_valid,not_valid
StateB,95368,"[0.970691,-0.005977,0.008465,0.240107]","[-0.009448,0.033063,-0.002578]","[-0.057461,0.021548,9.811439]",not_valid,not_valid
StateB,97345,"[0.970695,-0.005966,0.008483,0.240090]","[0.005376,0.011695,-0.013232]","[0.000000,0.100556,9.897630]",not_valid,not_valid
StateB,99399,"[0.970693,-0.005961,0.008503,0.240100]","[-0.015884,0.022438,0.001669]","[-0.323217,0.222661,9.725247]",not_valid,not_valid
StateB,101523,"[0.970693,-0.005969,0.008518,0.240098]","[0.006486,0.022343,0.006995]","[-0.308852,-0.028730,9.739613]",not_valid,not_valid
StateB,104017,"[0.970693,-0.005957,0.008522,0.240098]","[0.017053,0.002059,0.007105]","[-0.567426,0.079009,9.753978]",not_valid,not_valid
StateB,105557,"[0.970697,-0.005976,0.008533,0.240082]","[-0.024425,0.018212,-0.007080]","[-0.351948,0.079009,9.753978]",not_valid,not_valid
