type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,72769,"[0.967149,-0.008806,0.015141,0.253607]","[-0.008536,-0.005304,0.033515]","[-0.100556,-0.272939,9.933543]",not_valid,not_valid
StateB,74871,"[0.967146,-0.008797,0.015129,0.253618]","[0.015951,-0.010694,0.003000]","[-0.021548,-0.114922,9.825804]",not_valid,not_valid
StateB,76897,"[0.967144,-0.008789,0.015115,0.253629]","[-0.006452,-0.023419,0.023386]","[-0.244209,-0.093374,9.861717]",not_valid,not_valid
StateB,78755,"[0.967144,-0.008788,0.015105,0.253627]","[0.000027,0.010653,0.007752]","[-0.438139,0.014365,9.739613]",not_valid,not_valid
StateB,80703,"[0.967138,-0.008784,0.015086,0.253650]","[-0.006440,-0.019159,0.019791]","[-0.244209,-0.122104,9.682152]",not_valid,not_valid
StateB,82638,"[0.967136,-0.008778,0.015065,0.253659]","[0.005291,-0.013862,0.010203]","[-0.079009,-0.122104,9.567230]",not_valid,not_valid
StateB,85164,"[0.967131,-0.008770,0.015064,0.253682]","[0.006400,0.003180,0.015639]","[-0.086191,-0.057461,9.696517]",not_valid,not_valid
StateB,86748,"[0.967123,-0.008763,0.015042,0.253712]","[0.004196,-0.025577,0.019247]","[-0.272939,-0.014365,9.653421]",not_valid,not_valid
StateB,89706,"[0.967121,-0.008761,0.015019,0.253720]","[-0.011723,-0.002101,0.011430]","[-0.251391,-0.064643,9.560047]",not_valid,not_valid
StateB,90778,"[0.967112,-0.008752,0.015005,0.253757]","[-0.000038,-0.014914,0.030366]","[-0.337582,0.071826,9.667787]",not_valid,not_valid
StateB,92850,"[0.967105,-0.008747,0.015002,0.253785]","[0.000024,0.009587,0.033518]","[-0.229843,0.136469,9.696517]",not_valid,not_valid
StateB,94689,"[0.967103,-0.008754,0.014980,0.253791]","[-0.008559,-0.014892,0.014408]","[-0.064643,0.186748,9.854534]",not_valid,not_valid
StateB,96873,"[0.967097,-0.008738,0.014966,0.253816]","[0.010647,-0.002157,0.014408]","[-0.359130,0.136469,9.811439]",not_valid,not_valid
StateB,98767,"[0.967096,-0.008720,0.014951,0.253821]","[0.011683,-0.013878,0.004532]","[-0.201113,0.079009,9.890448]",not_valid,not_valid
StateB,100943,"[0.967092,-0.008719,0.014942,0.253839]","[-0.009593,-0.002106,0.018183]","[-0.237026,0.193930,9.983821]",not_valid,not_valid
StateB,102753,"[0.967087,-0.008708,0.014923,0.253858]","[-0.006454,-0.024485,0.036054]","[-0.416591,0.093374,9.847352]",not_valid,not_valid
StateB,105119,"[0.967078,-0.008699,0.014909,0.253892]","[0.006381,-0.004278,0.006362]","[-0.316035,-0.129287,9.789890]",not_valid,not_valid
StateB,106746,"[0.967077,-0.008717,0.014894,0.253899]","[-0.026632,0.000069,0.002636]","[-0.093374,-0.179565,9.696517]",not_valid,not_valid
StateB,109007,"[0.967071,-0.008705,0.014888,0.253923]","[0.005310,-0.006405,0.019563]","[-0.064643,-0.093374,9.531317]",not_valid,not_valid
StateB,110796,"[0.967072,-0.008703,0.014867,0.253920]","[-0.009623,-0.013824,0.017619]","[-0.129287,-0.064643,9.581595]",not_valid,not_valid
StateB,112892,"[0.967074,-0.008695,0.014856,0.253913]","[0.002131,-0.000005,0.003454]","[0.007183,-0.043096,9.595961]",not_valid,not_valid
StateB,114826,"[0.967070,-0.008707,0.014866,0.253925]","[-0.011696,0.008552,0.026890]","[-0.143652,-0.287304,9.782708]",not_valid,not_valid
StateB,116852,"[0.967069,-0.008694,0.014847,0.253934]","[-0.009609,-0.008498,0.017489]","[-0.222661,-0.294487,9.962274]",not_valid,not_valid
StateB,118699,"[0.967061,-0.008691,0.014833,0.253964]","[0.003193,-0.001074,0.018257]","[-0.359130,0.007183,10.062830]",not_valid,not_valid
StateB,120920,"[0.967054,-0.008702,0.014843,0.253990]","[-0.028688,0.028836,0.026348]","[-0.430956,0.028730,10.070012]",not_valid,not_valid
StateB,122913,"[0.967053,-0.008704,0.014832,0.253993]","[0.001030,-0.013851,0.003496]","[-0.452504,-0.028730,9.947908]",not_valid,not_valid
StateB,125223,"[0.967049,-0.008688,0.014821,0.254010]","[0.004283,0.008511,0.023863]","[-0.330400,0.050278,9.789890]",not_valid,not_valid
StateB,126908,"[0.967051,-0.008682,0.014820,0.254003]","[-0.002122,0.003201,0.001204]","[-0.043096,-0.014365,9.782708]",not_valid,not_valid
StateB,128839,"[0.967042,-0.008683,0.014802,0.254036]","[-0.010683,-0.011690,0.005150]","[-0.122104,-0.014365,9.732430]",not_valid,not_valid
StateB,130827,"[0.967044,-0.008660,0.014793,0.254033]","[0.006370,-0.008538,0.015918]","[-0.251391,0.007183,9.653421]",not_valid,not_valid
StateB,132913,"[0.967041,-0.008654,0.014786,0.254044]","[0.009574,-0.005351,-0.000696]","[-0.323217,-0.050278,9.674969]",not_valid,not_valid
StateB,134852,"[0.967040,-0.008656,0.014776,0.254049]","[-0.013837,0.004297,0.000369]","[-0.495600,0.129287,9.746795]",not_valid,not_valid
StateB,137014,"[0.967038,-0.008652,0.014782,0.254056]","[0.007471,0.005307,0.008224]","[-0.100556,-0.028730,9.761160]",not_valid,not_valid
StateB,138904,"[0.967035,-0.008641,0.014783,0.254068]","[0.005343,0.006378,-0.003322]","[-0.150835,-0.165200,9.775525]",not_valid,not_valid
StateB,140982,"[0.967030,-0.008629,0.014772,0.254088]","[0.011695,-0.008553,0.004032]","[-0.007183,-0.337582,9.825804]",not_valid,not_valid
StateB,142907,"[0.967027,-0.008629,0.014768,0.254098]","[-0.003199,-0.001057,0.014652]","[0.028730,-0.337582,9.624691]",not_valid,not_valid
StateB,145090,"[0.967026,-0.008633,0.014770,0.254103]","[-0.008491,0.011740,0.013137]","[-0.086191,-0.258574,9.524135]",not_valid,not_valid
StateB,146702,"[0.967025,-0.008632,0.014765,0.254107]","[-0.002100,0.011723,0.007811]","[-0.165200,-0.258574,9.538500]",not_valid,not_valid
StateB,149031,"[0.967026,-0.008609,0.014764,0.254102]","[0.018115,0.002083,0.010125]","[0.064643,0.021548,9.689334]",not_valid,not_valid
StateB,150859,"[0.967031,-0.008607,0.014768,0.254085]","[0.004310,0.019164,0.009794]","[0.000000,0.050278,9.825804]",not_valid,not_valid
StateB,152982,"[0.967027,-0.008608,0.014773,0.254101]","[-0.008508,0.005348,0.024066]","[0.057461,0.179565,9.991004]",not_valid,not_valid
StateB,155602,"[0.967025,-0.008601,0.014773,0.254105]","[0.009628,0.015955,0.011612]","[-0.043096,-0.100556,10.070012]",not_valid,not_valid
StateB,156889,"[0.967025,-0.008604,0.014774,0.254105]","[-0.005280,0.018123,-0.003419]","[-0.086191,-0.114922,10.149021]",not_valid,not_valid
StateB,158924,"[0.967019,-0.008588,0.014777,0.254130]","[0.012813,0.011685,0.014470]","[-0.179565,-0.100556,10.070012]",not_valid,not_valid
StateB,161186,"[0.967016,-0.008588,0.014774,0.254141]","[0.004258,-0.001076,0.006324]","[-0.452504,-0.287304,9.897630]",not_valid,not_valid
StateB,162812,"[0.967013,-0.008588,0.014790,0.254151]","[0.003277,0.031950,0.009433]","[-0.208296,-0.165200,9.883265]",not_valid,not_valid
StateB,165201,"[0.967009,-0.008582,0.014785,0.254168]","[-0.007451,0.002150,0.019021]","[-0.071826,-0.150835,9.725247]",not_valid,not_valid
StateB,166861,"[0.967008,-0.008585,0.014788,0.254172]","[-0.001030,0.013851,0.019673]","[0.000000,-0.172383,9.509769]",not_valid,not_valid
StateB,168820,"[0.967011,-0.008587,0.014792,0.254162]","[-0.014863,0.020277,-0.009254]","[0.258574,-0.150835,9.473856]",not_valid,not_valid
StateB,170783,"[0.967007,-0.008599,0.014795,0.254176]","[-0.004242,0.007468,0.021328]","[0.000000,0.028730,9.416395]",not_valid,not_valid
StateB,172915,"[0.966998,-0.008585,0.014799,0.254209]","[0.011772,0.021276,0.018097]","[-0.416591,-0.014365,9.574412]",not_valid,not_valid
StateB,174825,"[0.966999,-0.008593,0.014810,0.254204]","[-0.006344,0.019191,0.008774]","[-0.337582,0.064643,9.682152]",not_valid,not_valid
StateB,176776,"[0.966996,-0.008601,0.014811,0.254214]","[-0.018085,0.009633,-0.002538]","[-0.502782,0.251391,9.947908]",not_valid,not_valid
StateB,178654,"[0.966998,-0.008604,0.014820,0.254208]","[0.001100,0.013846,0.010856]","[-0.632069,0.244209,10.084377]",not_valid,not_valid
StateB,180711,"[0.967002,-0.008598,0.014830,0.254192]","[0.012839,0.022338,-0.032819]","[-0.423774,0.201113,10.192117]",not_valid,not_valid
StateB,182703,"[0.967001,-0.008601,0.014838,0.254196]","[-0.001043,0.008525,0.004689]","[-0.660800,0.021548,10.077195]",not_valid,not_valid
StateB,184979,"[0.967001,-0.008611,0.014857,0.254193]","[-0.011657,0.023466,-0.013261]","[-0.387861,-0.035913,9.926360]",not_valid,not_valid
StateB,186661,"[0.967001,-0.008615,0.014857,0.254194]","[-0.011718,0.000031,-0.025601]","[-0.316035,-0.107739,9.775525]",not_valid,not_valid
StateB,189669,"[0.967003,-0.008616,0.014865,0.254184]","[-0.005287,0.014928,-0.024968]","[-0.071826,-0.100556,9.631873]",not_valid,not_valid
StateB,190663,"[0.967004,-0.008624,0.014878,0.254180]","[-0.008453,0.025589,-0.024197]","[-0.079009,-0.014365,9.437943]",not_valid,not_valid
StateB,192750,"[0.967011,-0.008625,0.014899,0.254154]","[-0.010595,0.021334,-0.020946]","[-0.215478,0.035913,9.466674]",not_valid,not_valid
StateB,194728,"[0.967006,-0.008639,0.014905,0.254170]","[-0.007424,0.011738,0.009897]","[-0.007183,-0.165200,9.639056]",not_valid,not_valid
StateB,196748,"[0.967011,-0.008641,0.014918,0.254150]","[0.003249,0.019166,-0.021448]","[-0.122104,-0.301669,9.624691]",not_valid,not_valid
StateB,198633,"[0.967020,-0.008635,0.014927,0.254114]","[0.001110,0.015976,-0.026774]","[-0.402226,-0.380678,9.753978]",not_valid,not_valid
StateB,200776,"[0.967022,-0.008641,0.014942,0.254107]","[0.003274,0.027688,-0.003549]","[-0.567426,-0.229843,9.876082]",not_valid,not_valid
StateB,202667,"[0.967030,-0.008659,0.014944,0.254076]","[-0.026589,0.014989,-0.039253]","[-0.667982,-0.035913,9.976639]",not_valid,not_valid
StateB,205149,"[0.967034,-0.008650,0.014949,0.254060]","[0.014947,0.011675,-0.006080]","[-0.603339,-0.143652,9.940725]",not_valid,not_valid
StateB,206668,"[0.967041,-0.008654,0.014958,0.254033]","[0.001102,0.012780,-0.026736]","[-0.466869,-0.086191,9.832987]",not_valid,not_valid
StateB,208661,"[0.967046,-0.008661,0.014982,0.254015]","[-0.004174,0.029840,-0.024091]","[-0.416591,0.086191,9.768343]",not_valid,not_valid
StateB,210633,"[0.967054,-0.008660,0.014988,0.253982]","[-0.001034,0.010656,-0.043281]","[-0.696713,0.229843,9.868899]",not_valid,not_valid
