type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,74551,"[0.966543,-0.009026,0.014696,0.255925]","[-0.008709,0.012657,0.036919]","[-0.172383,-0.114922,9.725247]",not_valid,not_valid
StateB,76816,"[0.966539,-0.009029,0.014698,0.255940]","[-0.001159,0.006375,0.027244]","[-0.287304,-0.136469,9.811439]",not_valid,not_valid
StateB,78545,"[0.966530,-0.009036,0.014690,0.255972]","[-0.009759,0.011576,0.014584]","[-0.050278,-0.093374,9.746795]",not_valid,not_valid
StateB,80875,"[0.966526,-0.009027,0.014693,0.255987]","[0.015883,0.006626,0.020431]","[-0.093374,-0.136469,9.818622]",not_valid,not_valid
StateB,82499,"[0.966520,-0.009041,0.014690,0.256009]","[-0.016181,0.013612,0.018301]","[-0.086191,-0.107739,9.861717]",not_valid,not_valid
StateB,84728,"[0.966514,-0.009037,0.014693,0.256033]","[0.005216,0.007534,0.017532]","[-0.021548,-0.107739,9.725247]",not_valid,not_valid
StateB,86556,"[0.966510,-0.009038,0.014696,0.256047]","[-0.014050,0.013644,0.011303]","[-0.071826,-0.215478,9.725247]",not_valid,not_valid
StateB,88773,"[0.966501,-0.009031,0.014694,0.256084]","[0.009508,0.005466,0.029674]","[-0.007183,-0.057461,9.753978]",not_valid,not_valid
StateB,90527,"[0.966501,-0.009045,0.014706,0.256083]","[-0.010949,0.020081,0.031046]","[-0.035913,-0.064643,9.832987]",not_valid,not_valid
StateB,92651,"[0.966489,-0.009040,0.014703,0.256126]","[0.004151,0.007519,0.038740]","[-0.021548,-0.129287,9.739613]",not_valid,not_valid
StateB,94567,"[0.966486,-0.009034,0.014718,0.256137]","[0.008177,0.023559,0.022672]","[0.007183,0.021548,9.811439]",not_valid,not_valid
StateB,96561,"[0.966477,-0.009038,0.014726,0.256172]","[-0.006532,0.009493,0.042410]","[-0.222661,-0.071826,9.739613]",not_valid,not_valid
StateB,98506,"[0.966474,-0.009030,0.014718,0.256183]","[0.002052,0.005357,0.021527]","[-0.071826,-0.107739,9.718064]",not_valid,not_valid
StateB,100644,"[0.966469,-0.009038,0.014726,0.256201]","[-0.009853,0.017967,0.011940]","[-0.359130,-0.136469,9.804255]",not_valid,not_valid
StateB,102520,"[0.966465,-0.009041,0.014723,0.256217]","[0.001049,0.001081,0.018606]","[-0.287304,-0.129287,9.660604]",not_valid,not_valid
StateB,104616,"[0.966460,-0.009055,0.014740,0.256233]","[-0.010072,0.032879,0.020267]","[-0.201113,-0.079009,9.739613]",not_valid,not_valid
StateB,106536,"[0.966457,-0.009052,0.014746,0.256244]","[-0.001237,0.011701,0.006915]","[-0.280122,0.014365,9.847352]",not_valid,not_valid
StateB,108742,"[0.966452,-0.009055,0.014749,0.256262]","[-0.000157,0.010651,0.017121]","[-0.129287,-0.150835,9.818622]",not_valid,not_valid
StateB,110556,"[0.966444,-0.009048,0.014755,0.256295]","[0.001848,0.019204,0.041266]","[-0.136469,-0.043096,9.739613]",not_valid,not_valid
StateB,112609,"[0.966433,-0.009061,0.014762,0.256332]","[-0.007597,0.009477,0.040008]","[-0.237026,-0.035913,9.710882]",not_valid,not_valid
StateB,114582,"[0.966432,-0.009064,0.014767,0.256337]","[0.000751,0.021319,0.012705]","[-0.258574,-0.122104,9.718064]",not_valid,not_valid
StateB,116667,"[0.966425,-0.009067,0.014767,0.256364]","[-0.007629,0.011607,0.019097]","[-0.158017,-0.114922,9.782708]",not_valid,not_valid
StateB,118541,"[0.966413,-0.009072,0.014774,0.256407]","[-0.003399,0.013800,0.034615]","[-0.129287,-0.050278,9.804255]",not_valid,not_valid
StateB,120452,"[0.966410,-0.009071,0.014773,0.256419]","[-0.005592,0.018029,0.032755]","[-0.122104,-0.050278,9.725247]",not_valid,not_valid
StateB,122542,"[0.966397,-0.009073,0.014777,0.256467]","[-0.000110,0.007456,0.033487]","[-0.172383,-0.086191,9.868899]",not_valid,not_valid
StateB,124483,"[0.966395,-0.009085,0.014782,0.256475]","[-0.015242,0.022149,0.020508]","[-0.143652,-0.079009,9.775525]",not_valid,not_valid
StateB,126543,"[0.966389,-0.009078,0.014783,0.256500]","[0.009508,0.005467,0.032011]","[-0.129287,-0.186748,9.732430]",not_valid,not_valid
StateB,128531,"[0.966386,-0.009088,0.014790,0.256507]","[0.000892,0.011732,0.022573]","[-0.172383,-0.100556,9.682152]",not_valid,not_valid
StateB,130497,"[0.966377,-0.009097,0.014790,0.256544]","[-0.014098,0.016838,0.031095]","[-0.129287,0.014365,9.775525]",not_valid,not_valid
StateB,132698,"[0.966376,-0.009096,0.014801,0.256547]","[0.007346,0.007566,0.018575]","[-0.502782,-0.136469,9.818622]",not_valid,not_valid
StateB,134558,"[0.966370,-0.009104,0.014804,0.256569]","[-0.001270,0.013831,0.025852]","[-0.395043,-0.007183,9.682152]",not_valid,not_valid
StateB,136555,"[0.966365,-0.009098,0.014809,0.256587]","[-0.003353,0.010604,0.008504]","[-0.330400,0.007183,9.811439]",not_valid,not_valid
StateB,138563,"[0.966362,-0.009104,0.014809,0.256599]","[0.001049,0.001081,0.020261]","[-0.517148,-0.043096,9.746795]",not_valid,not_valid
StateB,140559,"[0.966363,-0.009110,0.014809,0.256592]","[-0.007567,0.007345,0.002313]","[-0.430956,0.057461,9.832987]",not_valid,not_valid
StateB,143977,"[0.966359,-0.009120,0.014815,0.256610]","[-0.011890,0.011543,0.016138]","[-0.632069,0.000000,9.804255]",not_valid,not_valid
StateB,144614,"[0.966356,-0.009132,0.014825,0.256618]","[-0.006660,0.018013,0.003696]","[-0.395043,-0.122104,9.789890]",not_valid,not_valid
StateB,146629,"[0.966357,-0.009129,0.014822,0.256615]","[0.002210,-0.005294,0.009792]","[-0.330400,0.007183,9.696517]",not_valid,not_valid
StateB,148726,"[0.966355,-0.009134,0.014822,0.256621]","[-0.019315,0.009301,0.007661]","[-0.294487,-0.122104,9.718064]",not_valid,not_valid
StateB,150561,"[0.966349,-0.009153,0.014828,0.256643]","[-0.009919,0.022225,0.004172]","[-0.294487,-0.064643,9.674969]",not_valid,not_valid
StateB,152735,"[0.966346,-0.009147,0.014836,0.256654]","[0.009475,0.007599,0.006138]","[-0.359130,-0.071826,9.703699]",not_valid,not_valid
