type,timestamp,event,data
Event,3142,CONTROL_MODE_ENABLE,<humanoid_control.control_mode.DefaultControl object at 0x7647b7e84100>
Event,22883,CONTROL_MODE_ENABLE,<humanoid_control.control_mode.PlayMotionControl object at 0x7647af0b8b50>
Event,4983101,MOTION_START,0-stir_left02_poses_action_sequence_regulation.txt
Event,10764338,DISABLE,not_valid
