type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,73642,"[0.957721,-0.009022,0.017111,0.287046]","[0.009600,0.003158,0.011355]","[-0.143652,-0.079009,9.804255]",not_valid,not_valid
StateB,75719,"[0.957716,-0.009018,0.017109,0.287065]","[0.010631,-0.005369,0.007295]","[-0.632069,0.007183,9.696517]",not_valid,not_valid
StateB,77627,"[0.957717,-0.009017,0.017113,0.287061]","[0.000017,0.004261,-0.000635]","[-0.538695,-0.014365,9.725247]",not_valid,not_valid
StateB,79577,"[0.957718,-0.009011,0.017108,0.287056]","[0.000030,0.007457,0.006254]","[-0.459687,-0.028730,9.761160]",not_valid,not_valid
StateB,81558,"[0.957725,-0.009027,0.017113,0.287035]","[-0.016968,0.019243,-0.006062]","[-0.538695,-0.043096,9.797073]",not_valid,not_valid
StateB,83551,"[0.957721,-0.009038,0.017124,0.287047]","[-0.008480,0.010687,0.022969]","[-0.502782,-0.114922,9.818622]",not_valid,not_valid
StateB,85491,"[0.957717,-0.009038,0.017119,0.287058]","[-0.005305,0.005348,-0.011834]","[-0.452504,-0.014365,9.718064]",not_valid,not_valid
StateB,87671,"[0.957716,-0.009041,0.017119,0.287062]","[-0.006366,0.006417,0.006379]","[-0.430956,-0.064643,9.782708]",not_valid,not_valid
StateB,89478,"[0.957719,-0.009030,0.017113,0.287054]","[0.019170,-0.001142,-0.004273]","[-0.308852,-0.007183,9.753978]",not_valid,not_valid
StateB,91572,"[0.957725,-0.009025,0.017108,0.287033]","[-0.012770,0.003247,-0.002732]","[-0.237026,0.007183,9.825804]",not_valid,not_valid
StateB,93511,"[0.957720,-0.009033,0.017110,0.287049]","[-0.007414,0.010682,0.007546]","[-0.193930,-0.093374,9.753978]",not_valid,not_valid
StateB,95586,"[0.957720,-0.009024,0.017113,0.287052]","[0.013865,0.004206,0.012359]","[-0.316035,-0.057461,9.682152]",not_valid,not_valid
StateB,97524,"[0.957722,-0.009031,0.017112,0.287044]","[-0.011667,0.012830,-0.003941]","[-0.179565,-0.028730,9.768343]",not_valid,not_valid
StateB,99662,"[0.957715,-0.009027,0.017114,0.287068]","[0.006417,0.006366,0.002390]","[-0.344765,-0.114922,9.689334]",not_valid,not_valid
